user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
megahit:Water_Italy_Italy_75_1_R_11_15.4:bin.18	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G2B;s__MedAcidi-G2B sp000817115	GCA_000817115.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G2B;s__MedAcidi-G2B sp000817115	99.43	0.88	GCA_000817115.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G2B;s__MedAcidi-G2B sp000817115	99.43	0.88	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G2B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902634555.1, s__MedAcidi-G2B sp902634555, 95.0, 89.74, 0.59; GCA_913052525.1, s__MedAcidi-G2B sp913052525, 95.0, 82.46, 0.57; GCA_003215175.1, s__MedAcidi-G2B sp003215175, 95.0, 79.17, 0.36; GCA_012959995.1, s__MedAcidi-G2B sp012959995, 95.0, 78.93, 0.03	52.39	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_R_11_15.4:bin.23	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CABZJG01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CABZJG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002726375.1, s__CABZJG01 sp002726375, 95.0, 90.71, 0.68; GCA_902525995.1, s__CABZJG01 sp902525995, 95.0, 89.85, 0.52; GCA_902512685.1, s__CABZJG01 sp902512685, 95.0, 86.48, 0.53	55.03	11	0.9920842510612504	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
megahit:Water_Italy_Italy_75_1_R_11_15.4:bin.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_N	GCF_002906855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_N	99.33	0.89	GCF_002906855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_N	99.33	0.89	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009883635.2, s__Pseudomonas_E putida_W, 95.0, 94.51, 0.82; GCA_017744435.1, s__Pseudomonas_E sp017744435, 95.0, 94.48, 0.79; GCF_003097235.1, s__Pseudomonas_E sp003097235, 95.0, 94.13, 0.8; GCF_009391885.1, s__Pseudomonas_E sp009391885, 95.0, 92.9, 0.82; GCF_002112505.1, s__Pseudomonas_E sp002112505, 95.0, 92.19, 0.79; GCA_024349685.1, s__Pseudomonas_E sp024349685, 95.0, 91.79, 0.82; GCF_014269035.2, s__Pseudomonas_E vlassakiae, 95.0, 91.7, 0.77; GCF_002025705.1, s__Pseudomonas_E putida_J, 95.0, 91.66, 0.8; GCF_001320245.1, s__Pseudomonas_E sp001320245, 95.0, 91.64, 0.78; GCF_011752565.1, s__Pseudomonas_E sp011752565, 95.0, 88.56, 0.73; GCF_021602585.1, s__Pseudomonas_E faucium, 95.0, 88.51, 0.74; GCF_000935045.1, s__Pseudomonas_E sp000935045, 95.0, 88.01, 0.74; GCF_000282535.1, s__Pseudomonas_E sp000282535, 95.0, 87.98, 0.65; GCF_022533585.1, s__Pseudomonas_E sp001642705, 95.0, 87.87, 0.71; GCF_000730665.1, s__Pseudomonas_E plecoglossicida, 95.0, 87.8, 0.68; GCF_900291015.1, s__Pseudomonas_E sp900291015, 95.0, 87.79, 0.69; GCF_009932335.1, s__Pseudomonas_E asiatica, 95.0481, 87.69, 0.72; GCF_003331055.1, s__Pseudomonas_E sp003331055, 95.0, 87.66, 0.68; GCF_900277125.1, s__Pseudomonas_E inefficax, 95.0, 87.57, 0.71; GCF_015680405.1, s__Pseudomonas_E pudica, 95.0481, 87.55, 0.7; GCF_002165135.1, s__Pseudomonas_E sp002165135, 95.0, 87.48, 0.68; GCF_000730605.1, s__Pseudomonas_E monteilii, 95.0, 87.46, 0.72; GCF_016658545.1, s__Pseudomonas_E sp016658545, 95.0, 87.45, 0.71; GCF_002113165.1, s__Pseudomonas_E sp002113165, 95.0, 87.45, 0.71; GCF_000708715.2, s__Pseudomonas_E putida_R, 95.0, 87.31, 0.73; GCF_014269225.2, s__Pseudomonas_E anuradhapurensis, 95.1274, 87.16, 0.68; GCF_000412675.1, s__Pseudomonas_E putida, 95.0, 87.12, 0.74; GCF_916618955.1, s__Pseudomonas_E sp916618955, 95.0, 87.1, 0.7; GCF_013393325.1, s__Pseudomonas_E putida_P, 95.0, 87.05, 0.74; GCF_000498395.2, s__Pseudomonas_E putida_Q, 95.0, 87.04, 0.75; GCF_014269185.2, s__Pseudomonas_E oryzicola, 95.1274, 87.0, 0.67; GCF_016648105.1, s__Pseudomonas_E sp016648105, 95.0, 86.91, 0.68; GCF_003205205.1, s__Pseudomonas_E sp003205205, 95.0, 86.89, 0.68; GCF_003627215.1, s__Pseudomonas_E sp001422615, 95.0, 86.88, 0.7; GCF_013179515.1, s__Pseudomonas_E sp013179515, 95.0, 86.87, 0.67; GCA_002386445.1, s__Pseudomonas_E sp002386445, 95.0, 86.87, 0.67; GCF_005080685.1, s__Pseudomonas_E putida_V, 95.0, 86.83, 0.71; GCF_000731675.1, s__Pseudomonas_E capeferrum, 95.0, 86.78, 0.72; GCF_019139535.1, s__Pseudomonas_E muyukensis, 95.0, 86.77, 0.64; GCF_019823065.1, s__Pseudomonas_E mosselii, 95.0, 86.76, 0.68; GCF_002356095.1, s__Pseudomonas_E putida_H, 95.0, 86.74, 0.75; GCF_014269025.2, s__Pseudomonas_E promysalinigenes, 95.0, 86.72, 0.7; GCF_015354575.1, s__Pseudomonas_E sp015354575, 95.0, 86.7, 0.68; GCF_014268935.2, s__Pseudomonas_E peradeniyensis, 95.0, 86.7, 0.67; GCF_016406145.1, s__Pseudomonas_E putida_E, 95.0, 86.67, 0.71; GCF_003231305.1, s__Pseudomonas_E sichuanensis, 95.0, 86.67, 0.68; GCF_021601385.1, s__Pseudomonas_E parasichuanensis, 95.0, 86.67, 0.69; GCF_021602025.1, s__Pseudomonas_E ceruminis, 95.0, 86.63, 0.71; GCF_014269205.2, s__Pseudomonas_E kermanshahensis, 95.0, 86.63, 0.72; GCF_019139895.1, s__Pseudomonas_E fakonensis, 95.0, 86.61, 0.67; GCF_021282585.1, s__Pseudomonas_E alloputida, 95.0, 86.59, 0.72; GCF_003205295.1, s__Pseudomonas_E mosselii_B, 95.0, 86.56, 0.66; GCF_018417595.1, s__Pseudomonas_E entomophila_C, 95.0, 86.51, 0.67; GCF_019139675.1, s__Pseudomonas_E maumuensis, 95.0, 86.51, 0.67; GCF_022627325.1, s__Pseudomonas_E putida_X, 95.0, 86.49, 0.69; GCF_004519305.1, s__Pseudomonas_E sp004519305, 95.0, 86.46, 0.63; GCF_009932375.1, s__Pseudomonas_E juntendi, 95.0, 86.43, 0.61; GCF_024127895.1, s__Pseudomonas_E guariconensis_B, 95.0, 86.42, 0.63; GCF_900110655.1, s__Pseudomonas_E soli, 95.0, 86.41, 0.66; GCF_014268885.2, s__Pseudomonas_E xantholysinigenes, 95.0, 86.4, 0.65; GCA_011752525.1, s__Pseudomonas_E sp011752525, 95.0, 86.35, 0.64; GCF_000026105.1, s__Pseudomonas_E entomophila, 95.0, 86.26, 0.67; GCF_007677725.1, s__Pseudomonas_E sp003445295, 95.0, 86.15, 0.67; GCF_023277925.1, s__Pseudomonas_E entomophila_D, 95.0, 86.15, 0.66; GCF_015680235.1, s__Pseudomonas_E guariconensis_A, 95.0, 86.0, 0.65; GCF_020151015.1, s__Pseudomonas_E putida_K, 95.0, 85.86, 0.63; GCF_900536025.1, s__Pseudomonas_E reidholzensis, 95.0, 85.85, 0.67; GCF_000425785.1, s__Pseudomonas_E taiwanensis, 95.0, 85.81, 0.68; GCF_004357765.1, s__Pseudomonas_E putida_U, 95.0, 85.75, 0.66; GCA_014268975.2, s__Pseudomonas_E wayambapalatensis, 95.0, 85.45, 0.61; GCF_001636055.1, s__Pseudomonas_E putida_B, 95.0, 85.43, 0.66; GCF_002741075.1, s__Pseudomonas_E putida_T, 95.0, 85.25, 0.65; GCF_014268815.2, s__Pseudomonas_E urmiensis, 95.0, 85.21, 0.68; GCF_900102675.1, s__Pseudomonas_E guariconensis, 95.0, 84.98, 0.66; GCF_005796105.1, s__Pseudomonas_E mosselii_C, 95.0, 84.95, 0.62; GCF_014268805.2, s__Pseudomonas_E farsensis, 95.0, 84.94, 0.61; GCF_017875955.1, s__Pseudomonas_E sp017875955, 95.0, 84.87, 0.64; GCF_000730645.1, s__Pseudomonas_E parafulva, 95.0, 84.59, 0.64; GCF_000800255.1, s__Pseudomonas_E parafulva_A, 95.0, 84.29, 0.59; GCA_023388335.1, s__Pseudomonas_E sp023388335, 95.0, 84.15, 0.66; GCF_016518545.1, s__Pseudomonas_E sp016518545, 95.0, 83.88, 0.56; GCF_014268785.2, s__Pseudomonas_E shirazensis, 95.0, 83.77, 0.6; GCF_902498185.1, s__Pseudomonas_E fluorescens_BS, 95.0, 83.7, 0.59; GCA_002434265.1, s__Pseudomonas_E sp002434265, 95.0, 83.65, 0.59; GCF_000730565.1, s__Pseudomonas_E fulva, 95.0, 83.53, 0.61; GCF_000759535.1, s__Pseudomonas_E cremoricolorata_A, 95.0, 83.53, 0.56; GCF_000425745.1, s__Pseudomonas_E cremoricolorata, 95.0, 83.48, 0.6; GCF_003105155.1, s__Pseudomonas_E sp003105155, 95.0, 83.47, 0.6; GCF_900187455.1, s__Pseudomonas_E sp900187455, 95.0, 83.39, 0.61; GCF_002021815.1, s__Pseudomonas_E parafulva_B, 95.0, 83.35, 0.61; GCF_013523125.1, s__Pseudomonas_E entomophila_B, 95.0, 83.14, 0.56; GCA_001534745.1, s__Pseudomonas_E monteilii_A, 95.0, 83.12, 0.55; GCF_003231275.1, s__Pseudomonas_E huaxiensis, 95.0, 83.11, 0.6; GCF_013523165.1, s__Pseudomonas_E entomophila_A, 95.0, 83.08, 0.59; GCF_000425805.1, s__Pseudomonas_E vranovensis, 95.0, 83.02, 0.58; GCF_015680705.1, s__Pseudomonas_E fulva_C, 95.0, 82.92, 0.59; GCF_013523055.1, s__Pseudomonas_E capeferrum_A, 95.0, 82.81, 0.57; GCF_014648275.1, s__Pseudomonas_E laurentiana, 95.0, 81.69, 0.48; GCF_001695625.1, s__Pseudomonas_E defluvii, 95.0, 81.68, 0.45	67.11	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_R_11_15.4:bin.33	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas testosteroni_B	GCF_000739375.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas testosteroni_B	99.06	0.95	GCF_000739375.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas testosteroni_B	99.06	0.95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000761245.1, s__Comamonas testosteroni_C, 95.0, 92.88, 0.85; GCF_000241525.1, s__Comamonas testosteroni, 95.0, 92.87, 0.85; GCF_014076415.1, s__Comamonas testosteroni_F, 95.0, 92.56, 0.87; GCF_000964545.1, s__Comamonas thiooxydans, 95.0, 92.46, 0.82; GCA_009360615.1, s__Comamonas sp009360615, 95.0, 92.31, 0.79; GCA_019236485.1, s__Comamonas sp019236485, 95.0, 85.67, 0.73; GCA_008727115.1, s__Comamonas testosteroni_E, 95.0, 85.54, 0.64; GCF_002754475.1, s__Comamonas sp002754475, 95.0, 84.58, 0.71; GCF_003569915.1, s__Comamonas testosteroni_D, 95.0, 84.47, 0.66; GCF_012844455.2, s__Comamonas suwonensis, 95.0, 84.42, 0.69; GCF_019186805.1, s__Comamonas fluminis, 95.0, 84.21, 0.65; GCF_001544075.1, s__Comamonas terrae, 95.0, 84.12, 0.64; GCF_014637085.1, s__Comamonas phosphati, 95.0, 83.98, 0.62; GCF_900564145.1, s__Comamonas sp900564145, 95.0, 83.79, 0.67; GCF_001598795.1, s__Comamonas acidovorans, 95.4801, 82.28, 0.6; GCF_001571325.1, s__Comamonas tsuruhatensis, 95.4801, 82.27, 0.59; GCF_019355935.1, s__Comamonas sp019355935, 95.0, 82.1, 0.62; GCF_903815225.1, s__Comamonas tsuruhatensis_A, 95.0, 81.74, 0.59; GCF_900461435.1, s__Comamonas terrigena, 95.0, 81.55, 0.5; GCF_000739875.1, s__Comamonas aquatica, 95.0, 81.32, 0.52; GCF_000429845.1, s__Comamonas composti, 95.0, 81.06, 0.48; GCF_021044865.1, s__Comamonas sp021044865, 95.0, 80.32, 0.44; GCF_013363755.1, s__Comamonas antarctica, 95.0, 80.26, 0.43; GCA_902706035.1, s__Comamonas sp902706035, 95.0, 80.17, 0.44; GCA_023622805.1, s__Comamonas sp023622805, 95.0, 80.15, 0.43; GCF_018413525.1, s__Comamonas sp018413525, 95.0, 80.09, 0.45; GCF_008801935.1, s__Comamonas kerstersii, 95.0, 80.08, 0.48; GCF_004364775.1, s__Comamonas sp004364775, 95.0, 80.06, 0.42; GCA_023418355.1, s__Comamonas sp023418355, 95.0, 79.99, 0.47; GCF_021026195.1, s__Comamonas koreensis, 95.0, 79.97, 0.4; GCF_014076495.1, s__Comamonas koreensis_A, 95.0, 79.97, 0.4; GCF_022387135.1, s__Comamonas sp002472915, 95.0, 79.87, 0.4; GCF_024809975.1, s__Comamonas sp024809975, 95.0, 79.83, 0.39; GCF_014207855.1, s__Comamonas odontotermitis_A, 95.0, 79.83, 0.37; GCF_020080045.1, s__Comamonas odontotermitis_B, 95.0, 79.73, 0.37; GCF_014109725.1, s__Comamonas piscis, 95.0, 79.66, 0.39; GCA_023435325.1, s__Comamonas sp023435325, 95.0, 79.64, 0.5; GCF_902829245.1, s__Comamonas jiangduensis, 95.0, 79.56, 0.42; GCA_902175065.1, s__Comamonas sp902175065, 95.0, 79.49, 0.38; GCA_015478895.1, s__Comamonas sp015478895, 95.0, 79.25, 0.35; GCA_023422975.1, s__Comamonas sp023422975, 95.0, 78.91, 0.45; GCF_014836675.1, s__Comamonas avium, 95.0, 78.84, 0.34; GCA_019104825.1, s__Comamonas sp019104825, 95.0, 78.62, 0.44; GCF_017368815.1, s__Comamonas denitrificans_A, 95.0, 78.34, 0.33; GCA_018384835.1, s__Comamonas sp018384835, 95.0, 77.09, 0.2	73.68	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_R_11_15.4:bin.37	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146;g__UBA12191;s__UBA12191 sp013911165	GCA_013911165.1	95.0	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146;g__UBA12191;s__UBA12191 sp013911165	99.25	0.92	GCA_013911165.1	95.0	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146;g__UBA12191;s__UBA12191 sp013911165	99.25	0.92	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__UBA1146;g__UBA12191;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012269595.1, s__UBA12191 sp012269595, 95.0, 94.1, 0.94; GCA_913056395.1, s__UBA12191 sp913056395, 95.0, 91.34, 0.88; GCA_016776905.1, s__UBA12191 sp003540375, 95.0, 82.64, 0.18; GCA_002691835.1, s__UBA12191 sp002691835, 95.0, 80.61, 0.35; GCA_002167285.1, s__UBA12191 sp002167285, 95.0, 79.84, 0.36; GCA_009937185.1, s__UBA12191 sp009937185, 95.0, 79.25, 0.11	47.55	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_R_11_15.4:bin.9	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus sp011087765	GCA_011087765.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus sp011087765	98.5	0.8	GCA_011087765.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus sp011087765	98.5	0.8	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_024225195.1, s__Mariniblastus sp024225195, 95.0, 83.14, 0.76; GCA_011523945.1, s__Mariniblastus sp011523945, 95.0, 81.33, 0.72; GCA_014237975.1, s__Mariniblastus sp014237975, 95.0, 77.15, 0.01; GCA_024638965.1, s__Mariniblastus sp024638965, 95.0, 77.01, 0.02; GCA_022447605.1, s__Mariniblastus sp022447605, 95.0, 76.84, 0.01; GCA_024642205.1, s__Mariniblastus sp024642205, 95.0, 76.81, 0.06; GCA_022447555.1, s__Mariniblastus sp022447555, 95.0, 76.77, 0.02; GCA_023300235.1, s__Mariniblastus sp023300235, 95.0, 76.43, 0.03; GCF_008087665.1, s__Mariniblastus fucicola, 95.0, 76.08, 0.02	78.83	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_W_7.4_13.9:bin.20	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__UBA1096 sp002170545	GCA_004213515.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__UBA1096 sp002170545	99.17	0.84	GCA_004213515.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__UBA1096 sp002170545	99.17	0.84	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002708005.1, s__UBA1096 sp002708005, 95.0, 82.34, 0.54; GCA_002684915.1, s__UBA1096 sp002684915, 95.0, 82.06, 0.66; GCA_002689335.1, s__UBA1096 sp002689335, 95.0, 76.91, 0.05; GCA_011523195.1, s__UBA1096 sp011523195, 95.0, 76.68, 0.03; GCA_018674955.1, s__UBA1096 sp018674955, 95.0, 76.67, 0.02; GCA_002453165.1, s__UBA1096 sp002453165, 95.0, 76.4, 0.06; GCA_002686755.1, s__UBA1096 sp002686755, 95.0, 75.94, 0.02; GCA_913050205.1, s__UBA1096 sp913050205, 95.0, 75.93, 0.03; GCA_002721375.1, s__UBA1096 sp002721375, 95.0, 75.73, 0.03; GCA_002299785.1, s__UBA1096 sp002299785, 95.0, 75.65, 0.01; GCA_913030945.1, s__UBA1096 sp913030945, 95.0, 75.62, 0.01; GCA_022451065.1, s__UBA1096 sp022451065, 95.0, 75.53, 0.03; GCA_014382705.1, s__UBA1096 sp014382705, 95.0, 75.52, 0.02; GCA_003972865.1, s__UBA1096 sp003972865, 95.0, 75.5, 0.02; GCA_913045395.1, s__UBA1096 sp913045395, 95.0, 75.23, 0.02; GCA_015658765.1, s__UBA1096 sp015658765, 95.0, 74.57, 0.01	55.49	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_W_7.4_13.9:bin.24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA724;s__UBA724 sp022425505	GCA_022425505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA724;s__UBA724 sp022425505	95.32	0.8	GCA_022425505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA724;s__UBA724 sp022425505	95.32	0.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA724;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002171575.2, s__UBA724 sp002171575, 95.0, 93.8, 0.84; GCA_902536935.1, s__UBA724 sp902536935, 95.0, 89.75, 0.83; GCA_002723075.1, s__UBA724 sp002723075, 95.0, 89.56, 0.96; GCA_902586905.1, s__UBA724 sp902586905, 95.0, 80.14, 0.53; GCA_902619855.1, s__UBA724 sp902619855, 95.0, 79.47, 0.51; GCA_002430545.1, s__UBA724 sp002430545, 95.0, 79.14, 0.56; GCA_902566635.1, s__UBA724 sp902566635, 95.0, 79.08, 0.5; GCA_018672145.1, s__UBA724 sp018672145, 95.0, 78.76, 0.3; GCA_902631125.1, s__UBA724 sp902631125, 95.0, 78.71, 0.41; GCA_913051755.1, s__UBA724 sp913051755, 95.0, 78.55, 0.35; GCA_016780065.1, s__UBA724 sp016780065, 95.0, 77.92, 0.1	84.47	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_W_7.4_13.9:bin.36	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus_B;s__Roseibacillus_B sp002420305	GCA_002420305.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus_B;s__Roseibacillus_B sp002420305	96.24	0.9	GCA_002420305.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus_B;s__Roseibacillus_B sp002420305	96.24	0.9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002380675.1, s__Roseibacillus_B sp002380675, 95.0, 94.16, 0.85; GCA_002686085.1, s__Roseibacillus_B sp002686085, 95.0, 93.87, 0.95; GCA_002709915.1, s__Roseibacillus_B sp002709915, 95.0, 85.97, 0.83; GCA_002729275.1, s__Roseibacillus_B sp002729275, 95.0, 84.83, 0.84; GCA_002715825.1, s__Roseibacillus_B sp002715825, 95.0, 84.65, 0.8; GCA_002723015.1, s__Roseibacillus_B sp002723015, 95.0, 80.24, 0.56; GCA_002709395.1, s__Roseibacillus_B sp002709395, 95.0, 78.77, 0.23; GCA_022448985.1, s__Roseibacillus_B sp022448985, 95.0, 78.68, 0.24; GCA_002721695.1, s__Roseibacillus_B sp002721695, 95.0, 78.41, 0.17; GCA_014240355.1, s__Roseibacillus_B sp014240355, 95.0, 78.34, 0.16; GCA_002501065.1, s__Roseibacillus_B sp002501065, 95.0, 77.02, 0.19; GCA_003483645.1, s__Roseibacillus_B sp003483645, 95.0, 76.86, 0.1; GCA_013001695.1, s__Roseibacillus_B sp013001695, 95.0, 76.4, 0.03	53.43	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_W_7.4_13.9:bin.41	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Aquabacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Aquabacter;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	32.75	11	0.962954796996731	N/A
megahit:Water_Italy_Italy_75_1_Z_18.4_14.1:bin.8	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002729215	GCA_002729215.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002729215	97.99	0.94	GCA_002729215.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002729215	97.99	0.94	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002728915.1, s__S36-B12 sp002728915, 95.0, 90.93, 0.85; GCA_012103605.1, s__S36-B12 sp012103605, 95.0, 90.8, 0.87; GCA_010029945.1, s__S36-B12 sp010029945, 95.0, 90.23, 0.78; GCA_002694095.1, s__S36-B12 sp002694095, 95.0, 89.81, 0.87; GCA_913057155.1, s__S36-B12 sp913057155, 95.0, 77.66, 0.3; GCA_913061025.1, s__S36-B12 sp913061025, 95.0, 77.6, 0.24; GCA_018402235.1, s__S36-B12 sp018402235, 95.0, 77.38, 0.3	80.3	11	N/A	N/A
megahit:Water_Italy_Italy_75_1_Z_18.4_14.1:bin.9	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3;s__MedAcidi-G3 sp000817105	GCA_000817105.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3;s__MedAcidi-G3 sp000817105	99.76	0.95	GCA_000817105.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3;s__MedAcidi-G3 sp000817105	99.76	0.95	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002722565.1, s__MedAcidi-G3 sp002722565, 95.0, 82.92, 0.77; GCA_913020735.1, s__MedAcidi-G3 sp003445455, 95.0, 81.87, 0.76; GCA_002713975.1, s__MedAcidi-G3 sp002713975, 95.0, 78.26, 0.36; GCA_004214275.1, s__MedAcidi-G3 sp004214275, 95.0, 77.97, 0.37; GCA_002457435.1, s__MedAcidi-G3 sp002457435, 95.0, 77.84, 0.36; GCA_002708935.1, s__MedAcidi-G3 sp002708935, 95.0, 77.75, 0.34	92.17	11	N/A	N/A
